"longitude","latitude","housingMedianAge","totalRooms","totalBedrooms","population","households","medianIncome","medianHouseValue","avgBedrooms","avgRooms","fold_id","preds","residuals"
-122.25,37.81,39,854,242,389,228,3.125,237500,1.06140350877193,3.74561403508772,1,241067.837839801,-3567.83783980075
-122.25,37.82,52,1424,289,550,253,5.0917,262500,1.14229249011858,5.62845849802372,1,317965.923994384,-55465.9239943836
-122.25,37.83,35,1613,428,675,422,3.4722,243100,1.01421800947867,3.82227488151659,1,258366.654692825,-15266.6546928252
-122.24,37.85,37,334,54,98,47,4.9643,335000,1.14893617021277,7.1063829787234,1,240722.571437883,94277.4285621172
-122.24,37.84,52,3529,574,1177,555,5.1773,389500,1.03423423423423,6.35855855855856,1,353922.860851261,35577.1391487395
-122.24,37.85,52,2612,365,901,367,7.2354,391100,0.994550408719346,7.11716621253406,1,400953.820047164,-9853.82004716428
-122.22,37.85,28,5287,1048,2031,956,5.457,337300,1.09623430962343,5.53033472803347,1,295131.888144211,42168.1118557887
-122.21,37.84,44,3424,597,1358,597,6.0194,292300,1,5.73534338358459,1,313053.502620527,-20753.5026205269
-122.2,37.84,30,2211,346,844,343,6.0666,311500,1.00874635568513,6.44606413994169,1,306073.058856828,5426.94114317221
-122.21,37.83,34,5065,788,1627,766,6.8976,333300,1.02872062663185,6.61227154046997,1,449790.935327441,-116490.935327441
-122.19,37.83,29,1791,271,661,269,6.8538,368900,1.00743494423792,6.65799256505576,1,348606.245135183,20293.7548648173
-122.22,37.8,52,2183,465,1129,460,3.2632,227700,1.01086956521739,4.74565217391304,1,187530.378997935,40169.6210020649
-122.22,37.8,52,2286,464,1073,441,3.0298,199600,1.05215419501134,5.18367346938776,1,181466.508508575,18133.4914914246
-122.23,37.8,52,2033,486,787,459,3.1603,269500,1.05882352941176,4.42919389978213,1,234186.95034384,35313.04965616
-122.23,37.81,52,2315,292,861,258,8.8793,410300,1.13178294573643,8.97286821705426,1,480465.104355921,-70165.1043559207
-122.23,37.81,52,2814,365,878,352,7.508,348700,1.03693181818182,7.99431818181818,1,414691.194872658,-65991.1948726584
-122.24,37.8,52,888,168,360,175,2.1944,211500,0.96,5.07428571428571,1,157265.528682679,54234.4713173214
-122.25,37.8,41,1471,469,1062,413,1.6121,171400,1.13559322033898,3.56174334140436,1,157756.768575615,13643.231424385
-122.25,37.79,45,1786,526,1475,460,1.7772,97500,1.14347826086957,3.88260869565217,1,117304.530401688,-19804.5304016885
-122.24,37.8,52,996,228,731,228,2.2697,127000,1,4.36842105263158,1,119107.704461362,7892.29553863812
-122.23,37.8,52,783,184,488,186,1.9375,126600,0.989247311827957,4.20967741935484,1,118317.996813531,8282.00318646898
-122.23,37.8,51,1590,414,949,392,1.9028,127900,1.05612244897959,4.05612244897959,1,124339.206232116,3560.79376788376
-122.23,37.8,52,1252,299,844,280,2.3929,111900,1.06785714285714,4.47142857142857,1,122239.443799457,-10339.4437994574
-122.23,37.79,30,999,264,1011,263,1.8854,137500,1.00380228136882,3.79847908745247,1,108804.293294487,28695.7067055125
-122.25,37.79,51,175,43,228,55,2.1,75000,0.781818181818182,3.18181818181818,1,157436.664976812,-82436.6649768121
-122.23,37.79,48,1696,396,1481,343,2.0375,122500,1.15451895043732,4.94460641399417,1,88309.3882584613,34190.6117415387
-122.23,37.79,30,610,145,425,140,1.6198,122700,1.03571428571429,4.35714285714286,1,105135.324547309,17564.6754526908
-122.2,37.79,29,1640,376,939,340,2.8321,150000,1.10588235294118,4.82352941176471,1,144500.725097441,5499.2749025588
-122.21,37.79,35,1745,409,1143,386,2.875,143800,1.05958549222798,4.52072538860104,1,139171.279812995,4628.72018700451
-122.21,37.8,52,3519,711,1883,706,3.4861,187100,1.0070821529745,4.98441926345609,1,181112.035217373,5987.9647826271
-122.21,37.8,48,1321,263,506,252,4.0977,229700,1.04365079365079,5.24206349206349,1,221932.459747934,7767.54025206628
-122.19,37.8,46,1938,341,768,332,4.2727,246900,1.02710843373494,5.83734939759036,1,217341.77108253,29558.2289174699
-122.2,37.79,40,1060,256,667,235,4.1739,169600,1.08936170212766,4.51063829787234,1,165487.72119795,4112.27880204999
-122.2,37.79,44,1621,452,1354,491,2.619,134700,0.920570264765784,3.30142566191446,1,148904.831751194,-14204.8317511944
-122.21,37.78,52,1056,224,792,245,2.6583,142600,0.914285714285714,4.31020408163265,1,117056.741341844,25543.2586581559
-122.22,37.77,40,494,114,547,135,2.8015,114800,0.844444444444444,3.65925925925926,1,93008.2470031069,21791.7529968931
-122.22,37.78,44,1678,514,1700,495,2.0801,131900,1.03838383838384,3.38989898989899,1,114173.590147215,17726.409852785
-122.21,37.77,46,1234,375,1183,354,2.3309,98700,1.05932203389831,3.48587570621469,1,110263.004939851,-11563.0049398508
-122.2,37.77,43,2430,502,1537,484,2.898,121400,1.03719008264463,5.02066115702479,1,132615.304257042,-11215.3042570417
-122.19,37.77,52,2170,428,1086,425,3.3715,143900,1.00705882352941,5.10588235294118,1,163759.799888717,-19859.799888717
-122.19,37.77,52,2329,445,1144,417,3.5114,151200,1.06714628297362,5.58513189448441,1,175357.576496153,-24157.576496153
-122.2,37.78,45,1766,332,869,327,4.5893,163500,1.01529051987768,5.40061162079511,1,200994.682944537,-37494.6829445374
-122.18,37.79,39,617,95,236,106,5.2578,253000,0.89622641509434,5.82075471698113,1,312986.933060675,-59986.9330606752
-122.18,37.79,41,1411,233,626,214,7.0875,240700,1.08878504672897,6.59345794392523,1,350684.194060234,-109984.194060234
-122.17,37.77,30,3326,746,1704,703,2.875,135300,1.06116642958748,4.73115220483642,1,163341.021502392,-28041.0215023922
-122.17,37.78,49,893,177,468,181,3.875,140600,0.977900552486188,4.93370165745856,1,148166.314044859,-7566.31404485894
-122.17,37.77,31,2424,533,1360,452,1.871,90700,1.17920353982301,5.36283185840708,1,104018.787896871,-13318.7878968708
-122.18,37.76,50,1187,261,907,246,1.9479,89500,1.0609756097561,4.82520325203252,1,86567.5289050682,2932.47109493177
-122.18,37.77,52,1748,362,1029,366,2.0556,1e+05,0.989071038251366,4.77595628415301,1,99610.6459239856,389.35407601441
-122.2,37.76,47,1116,259,826,279,1.75,85700,0.92831541218638,4,1,84978.6938832118,721.306116788241
-122.19,37.75,19,2207,565,1481,520,1.3194,81400,1.08653846153846,4.24423076923077,1,132502.609511825,-51102.6095118254
-122.17,37.74,43,818,193,494,179,2.4776,101600,1.07821229050279,4.56983240223464,1,103430.948334195,-1830.9483341951
-122.17,37.73,43,1473,371,1231,341,2.1587,86500,1.08797653958944,4.31964809384164,1,96821.070695917,-10321.070695917
-122.18,37.74,35,504,126,323,109,1.8438,90500,1.15596330275229,4.62385321100917,1,99497.8556542379,-8997.85565423786
-122.17,37.74,46,769,183,693,178,2.25,84200,1.02808988764045,4.32022471910112,1,93989.9316610305,-9789.93166103051
-122.18,37.75,46,941,218,621,195,1.325,87100,1.11794871794872,4.82564102564103,1,81800.8104200345,5299.18957996546
-122.17,37.76,33,1280,307,999,286,2.5625,89300,1.07342657342657,4.47552447552448,1,124120.259218831,-34820.2592188307
-122.16,37.76,45,2299,514,1437,484,2.5122,95500,1.06198347107438,4.75,1,113968.654747695,-18468.6547476946
-122.16,37.76,46,1827,307,881,302,4.6696,164300,1.01655629139073,6.04966887417219,1,218853.833310943,-54553.833310943
-122.14,37.77,27,2229,365,1297,355,4.8304,279100,1.02816901408451,6.27887323943662,1,203885.037813245,75214.9621867548
-122.14,37.76,34,1513,231,545,211,5.5701,252800,1.09478672985782,7.17061611374408,1,273441.254847412,-20641.2548474123
-122.15,37.75,44,1938,399,946,331,3.225,135800,1.20543806646526,5.85498489425982,1,159559.403250702,-23759.4032507018
-122.15,37.74,49,1325,277,764,282,3.3125,118000,0.982269503546099,4.69858156028369,1,148456.649244576,-30456.6492445763
-122.16,37.75,40,1227,294,928,261,1.8235,95200,1.1264367816092,4.70114942528736,1,87209.326019218,7990.673980782
-122.17,37.74,34,1223,281,824,280,2.2917,92500,1.00357142857143,4.36785714285714,1,112205.599853929,-19705.5998539288
-122.3,37.89,46,1520,402,815,375,2.8036,211600,1.072,4.05333333333333,1,170872.712383354,40727.2876166465
-122.3,37.89,52,1248,283,620,275,4.0875,221300,1.02909090909091,4.53818181818182,1,215065.568990313,6234.43100968661
-122.27,37.9,42,1650,274,645,256,5.6228,375400,1.0703125,6.4453125,1,325775.453980869,49624.546019131
-122.27,37.89,52,1978,293,723,272,5.3989,335600,1.07720588235294,7.27205882352941,1,332613.155263225,2986.84473677503
-122.25,37.89,41,1125,195,356,181,6.1593,344000,1.07734806629834,6.21546961325967,1,354702.894214484,-10702.8942144837
-122.28,37.88,52,1193,200,506,207,4.1912,254500,0.966183574879227,5.76328502415459,1,256749.184676834,-2249.18467683418
-122.3,37.88,52,409,97,208,98,1.6971,138800,0.989795918367347,4.1734693877551,1,143282.042761878,-4482.04276187767
-122.28,37.87,49,2026,548,963,521,1.9805,173700,1.05182341650672,3.88867562380038,1,175563.802618461,-1863.80261846058
-122.28,37.87,46,3022,696,1293,675,2.543,220700,1.03111111111111,4.47703703703704,1,192371.238457234,28328.7615427657
-122.26,37.88,52,1149,255,483,249,4.2788,332500,1.02409638554217,4.6144578313253,1,275779.957808929,56720.0421910713
-122.26,37.87,52,2773,998,1721,949,1.1859,241700,1.05163329820864,2.92202318229715,1,278710.911376907,-37010.9113769074
-122.27,37.87,52,3084,698,1424,694,2.7372,210200,1.00576368876081,4.44380403458213,1,206152.837448413,4047.16255158695
-122.28,37.86,52,1659,367,788,346,2.8214,164300,1.0606936416185,4.79479768786127,1,176155.966435112,-11855.9664351117
-122.29,37.87,52,2225,460,1145,430,2.6165,150000,1.06976744186047,5.17441860465116,1,159566.328845987,-9566.3288459868
-122.29,37.86,50,2485,607,1354,563,1.9483,150500,1.07815275310835,4.41385435168739,1,143340.917116472,7159.08288352774
-122.28,37.86,49,2932,668,1361,608,1.9798,147400,1.09868421052632,4.82236842105263,1,155035.583950975,-7635.58395097507
-122.28,37.86,52,3007,691,1582,636,2.5652,157700,1.08647798742138,4.72798742138365,1,191852.153789008,-34152.1537890081
-122.26,37.86,52,3774,744,1461,679,2.9405,289500,1.09572901325479,5.55817378497791,1,251172.548098919,38327.4519010806
-122.25,37.86,48,2153,517,1656,459,3.0417,489600,1.12636165577342,4.69063180827887,1,175058.946264642,314541.053735358
-122.28,37.85,48,2063,484,1054,466,2.2625,132900,1.03862660944206,4.42703862660944,1,145249.737227366,-12349.7372273656
-122.29,37.84,35,1872,419,1017,414,2.2106,132500,1.01207729468599,4.52173913043478,1,139908.344202835,-7408.34420283526
-122.23,37.83,52,2990,379,947,361,7.8772,500001,1.04986149584488,8.28254847645429,1,454036.239067293,45964.7609327074
-122.23,37.82,52,3051,381,1005,369,8.1872,466100,1.03252032520325,8.26829268292683,1,459306.164510216,6793.83548978367
-122.24,37.77,52,1711,386,885,373,3.6417,206300,1.03485254691689,4.58713136729223,1,186347.433966414,19952.5660335858
-122.25,37.77,52,1038,220,482,215,3.1771,210200,1.02325581395349,4.82790697674419,1,209037.757165197,1162.24283480263
-122.25,37.77,52,1527,320,825,264,3.4531,208800,1.21212121212121,5.78409090909091,1,184355.555237532,24444.4447624685
-122.3,37.77,42,2038,368,2037,355,2.6447,2e+05,1.03661971830986,5.74084507042254,1,132028.965659906,67971.0343400945
-122.28,37.78,50,1487,306,730,327,2.5139,219000,0.935779816513762,4.5474006116208,1,135939.442334684,83060.5576653163
-122.26,37.77,52,1670,350,793,299,2.9732,282100,1.17056856187291,5.58528428093646,1,180523.830127872,101576.169872128
-122.27,37.77,52,2388,559,1121,518,3.3269,234500,1.07915057915058,4.61003861003861,1,232156.242997007,2343.75700299311
-122.25,37.77,52,2156,458,872,445,3.2685,254200,1.02921348314607,4.84494382022472,1,244200.258117945,9999.74188205521
-122.23,37.76,52,3011,542,1303,535,5.1039,273800,1.01308411214953,5.62803738317757,1,271785.55790743,2014.44209257001
-122.23,37.75,50,1542,289,654,268,3.9632,240000,1.07835820895522,5.75373134328358,1,202027.771526679,37972.2284733207
-122.24,37.75,27,4051,753,1499,797,4.8711,286600,0.944792973651192,5.08281053952321,1,287966.164260921,-1366.1642609213
-122.24,37.76,52,2646,581,1128,522,3.0718,266700,1.11302681992337,5.06896551724138,1,212795.805410804,53904.1945891959
-122.24,37.73,21,7031,1249,2930,1235,4.5213,228400,1.01133603238866,5.69311740890688,1,250565.355954525,-22165.3559545253
-122.07,37.72,26,3204,477,1411,484,5.4834,295200,0.985537190082645,6.6198347107438,1,232234.876589973,62965.1234100271
-122.1,37.72,30,2599,366,922,350,5.8382,330200,1.04571428571429,7.42571428571429,1,324724.694537993,5475.30546200689
-122.09,37.7,31,2053,336,867,329,4.3375,241800,1.02127659574468,6.24012158054711,1,226495.436204836,15304.5637951636
-122.07,37.7,39,1420,272,645,277,4.125,232500,0.981949458483754,5.12635379061372,1,197149.88640754,35350.1135924604
-122.07,37.7,32,3400,736,1487,694,3,223200,1.06051873198847,4.89913544668588,1,203859.606986517,19340.3930134829
-122.07,37.69,31,5914,1309,2999,1295,3.0964,190500,1.01081081081081,4.56679536679537,1,197417.778188499,-6917.77818849948
-122.16,37.73,52,2260,416,994,412,4.1164,198200,1.00970873786408,5.48543689320388,1,207764.144013305,-9564.14401330453
-122.18,37.7,36,2639,533,1209,519,4.0268,205500,1.02697495183044,5.08477842003854,1,217057.184449894,-11557.1844498942
-122.15,37.72,47,1190,251,540,266,3.375,198300,0.943609022556391,4.47368421052632,1,183267.461993935,15032.5380060652
-122.13,37.72,35,2183,383,976,392,3.8393,243500,0.977040816326531,5.56887755102041,1,184603.453117804,58896.5468821959
-122.14,37.72,39,786,132,288,132,3.5156,218900,1,5.95454545454545,1,186021.640785562,32878.3592144383
-122.15,37.71,18,5778,1526,2441,1352,3.1682,202700,1.12869822485207,4.27366863905325,1,186657.942630814,16042.0573691855
-122.15,37.7,36,1464,244,672,261,3.5547,194700,0.934865900383142,5.60919540229885,1,181258.992270168,13441.0077298315
-122.13,37.7,21,4124,1054,2162,998,2.6321,223100,1.0561122244489,4.13226452905812,1,170711.500384076,52388.4996159236
-122.14,37.69,38,1571,317,874,301,4.4659,189100,1.0531561461794,5.21926910299003,1,183112.83344129,5987.16655870964
-122.15,37.68,30,2261,443,929,383,4.2841,213400,1.15665796344648,5.90339425587467,1,227989.74774576,-14589.7477457604
-122.13,37.69,34,1131,278,560,237,2.875,161700,1.17299578059072,4.77215189873418,1,178158.10959342,-16458.1095934204
-122.12,37.7,17,2488,617,1287,538,2.9922,179900,1.14684014869888,4.62453531598513,1,181404.245353788,-1504.24535378805
-122.12,37.7,19,2495,635,1571,579,2.5833,159900,1.09671848013817,4.30915371329879,1,170872.712383354,-10972.7123833535
-122.1,37.69,41,746,145,387,161,3.9063,178400,0.900621118012422,4.63354037267081,1,170486.696176342,7913.30382365841
-122.11,37.69,37,2444,651,1562,618,2.6464,155200,1.05339805825243,3.9546925566343,1,156778.614931821,-1578.61493182089
-121.97,37.64,32,1283,194,485,171,6.0574,431000,1.13450292397661,7.50292397660819,1,302128.293765824,128871.706234176
-122.02,37.63,6,2445,590,1189,573,3.8958,301100,1.02966841186736,4.26701570680628,1,210321.771352357,90778.2286476429
-122.04,37.66,10,2031,357,867,352,5.3169,299200,1.01420454545455,5.76988636363636,1,246725.422671647,52474.5773283533
-122.07,37.68,36,1815,426,1280,431,3.25,218100,0.988399071925754,4.21113689095128,1,160605.158759724,57494.8412402761
-122.08,37.68,26,2607,682,1401,607,2.6563,184100,1.12355848434926,4.29489291598023,1,173408.515262963,10691.4847370368
-122.09,37.68,41,1834,463,1105,467,2.8322,170300,0.991434689507495,3.9271948608137,1,162769.941329064,7530.05867093589
-122.11,37.68,37,1976,481,1197,465,2.5772,170200,1.03440860215054,4.2494623655914,1,155381.142709464,14818.8572905364
-122.1,37.68,38,1779,413,1061,400,3.0962,180900,1.0325,4.4475,1,159152.270833045,21747.7291669549
-122.11,37.67,36,2110,389,952,370,3.8,187500,1.05135135135135,5.7027027027027,1,185188.133604428,2311.86639557208
-122.13,37.68,45,2457,445,1129,422,4.0588,182800,1.05450236966825,5.82227488151659,1,195129.980776193,-12329.9807761929
-122.14,37.67,37,3156,534,1495,543,4.8125,188300,0.983425414364641,5.8121546961326,1,219402.774327469,-31102.7743274688
-122.09,37.67,33,2431,655,1854,603,2.7019,154000,1.08623548922056,4.03150912106136,1,140927.305732784,13072.6942672161
-122.09,37.66,39,1160,259,725,274,2.2222,158300,0.945255474452555,4.23357664233577,1,123230.717069733,35069.2829302666
-122.06,37.67,22,3882,816,1830,743,4.2733,180700,1.09825033647376,5.22476446837147,1,237049.777453521,-56349.7774535207
-122.04,37.66,23,2419,348,1066,384,6.3501,350000,0.90625,6.29947916666667,1,292881.177976642,57118.8220233584
-122.07,37.66,28,2280,610,1255,587,2.6719,161200,1.03918228279387,3.88415672913118,1,181780.429277856,-20580.4292778564
-122.07,37.66,21,5031,1168,2461,1042,3.875,179300,1.12092130518234,4.82821497120921,1,229308.03169859,-50008.0316985903
-122.07,37.65,31,3300,790,2181,740,3.016,161800,1.06756756756757,4.45945945945946,1,169554.130560607,-7754.13056060695
-122.08,37.65,35,1813,393,1093,374,3.6818,165400,1.05080213903743,4.8475935828877,1,168602.754650418,-3202.75465041841
-122.11,37.66,36,1755,316,913,299,4.1302,172700,1.05685618729097,5.8695652173913,1,196101.497770262,-23401.497770262
-122.1,37.65,36,410,76,252,82,4.5303,175000,0.926829268292683,5,1,187314.488825202,-12314.4888252019
-122.11,37.65,18,4335,808,2041,734,3.4861,331600,1.1008174386921,5.90599455040872,1,193223.946447783,138376.053552217
-122.11,37.64,31,1487,280,854,301,5.2312,197600,0.930232558139535,4.94019933554817,1,206449.469735398,-8849.46973539807
-122.09,37.63,34,1457,242,735,249,3.9167,189500,0.971887550200803,5.85140562248996,1,189249.856322507,250.143677493208
-122.08,37.64,23,1897,440,1109,418,3.142,179500,1.05263157894737,4.53827751196172,1,184583.182988769,-5083.18298876905
-122.06,37.64,37,1468,304,1038,282,4.1652,158200,1.07801418439716,5.20567375886525,1,158386.268202421,-186.268202420615
-122.04,37.62,35,899,179,455,185,4.2857,190400,0.967567567567568,4.85945945945946,1,184264.74833144,6135.25166856032
-122.07,37.63,24,2329,465,1401,453,4.5913,177600,1.02649006622517,5.14128035320088,1,192178.826590937,-14578.8265909368
-122.06,37.63,12,6711,1374,3388,1289,3.8625,208900,1.06594259115593,5.20636152055857,1,193640.54800222,15259.4519977796
-122.08,37.62,27,1826,309,1016,313,5.64,206500,0.987220447284345,5.83386581469649,1,221874.408395905,-15374.4083959051
-122.08,37.61,26,2261,443,1039,395,3.7931,203900,1.12151898734177,5.72405063291139,1,192204.069332332,11695.9306676677
-122.08,37.59,16,1816,365,1367,355,4.235,156300,1.02816901408451,5.11549295774648,1,201633.582082995,-45333.5820829952
-122.07,37.59,13,2578,551,1680,528,4.825,222000,1.04356060606061,4.88257575757576,1,222251.0727642,-251.072764200071
-122.04,37.59,14,1727,302,1116,273,5.3428,243600,1.10622710622711,6.32600732600733,1,258398.832738672,-14798.8327386725
-122.01,37.59,2,838,295,240,149,2.875,237500,1.97986577181208,5.6241610738255,1,303641.822036108,-66141.8220361084
-121.96,37.58,15,3575,597,1777,559,5.7192,283500,1.06797853309481,6.3953488372093,1,258381.516615625,25118.4833843748
-122.07,37.57,8,8647,1407,5019,1379,6.5615,318300,1.02030456852792,6.27048585931835,1,316951.510317246,1348.48968275433
-122.02,37.56,23,4332,857,2461,829,4.3594,223400,1.03377563329312,5.22557297949337,1,223219.544496636,180.455503363861
-121.99,37.56,20,6462,1294,3288,1235,4.3393,231200,1.04777327935223,5.23238866396761,1,235878.12529027,-4678.12529027046
-121.96,37.55,4,3746,993,1606,838,4.1387,162500,1.18496420047733,4.47016706443914,1,214233.985217144,-51733.985217144
-121.95,37.54,29,3517,645,1724,585,4.6641,248900,1.1025641025641,6.01196581196581,1,244782.569683114,4117.43031688605
-121.97,37.53,26,2506,387,1273,406,5.4299,236400,0.95320197044335,6.17241379310345,1,251083.573163262,-14683.573163262
-121.99,37.54,28,3046,507,1772,516,5.3283,227900,0.982558139534884,5.9031007751938,1,244612.618115714,-16712.6181157142
-121.99,37.55,28,2414,415,1106,453,4.8403,268600,0.916114790286976,5.32891832229581,1,255388.804042924,13211.1959570762
-122,37.54,29,4133,744,2023,749,5.1616,275100,0.993324432576769,5.51802403204272,1,259140.987702162,15959.0122978381
-122.01,37.55,34,2791,495,1276,468,4.9167,256300,1.05769230769231,5.96367521367521,1,251839.187915914,4460.81208408574
-121.97,37.51,25,3333,511,1671,504,5.4359,258300,1.01388888888889,6.61309523809524,1,250793.165124672,7506.834875328
-122.05,37.55,23,4247,835,2357,823,5.1321,211300,1.01458080194411,5.16038882138518,1,263706.039922694,-52406.0399226943
-122.04,37.53,34,2316,478,1524,467,3.7364,190400,1.02355460385439,4.9593147751606,1,203835.708716892,-13435.7087168916
-121.92,37.72,4,7477,1576,2937,1506,5.1437,299400,1.0464807436919,4.96480743691899,1,235804.524121323,63595.4758786767
-121.93,37.72,26,3816,637,1935,642,4.4697,221300,0.992211838006231,5.94392523364486,1,199494.868226938,21805.1317730619
-121.96,37.71,6,8072,1050,3386,1062,7.2494,336500,0.988700564971751,7.60075329566855,1,330142.958142521,6357.04185747897
-121.89,37.68,12,7490,1207,3329,1136,6.3373,339700,1.0625,6.59330985915493,1,292971.511992874,46728.4880071261
-121.88,37.68,23,2234,270,854,286,7.333,337200,0.944055944055944,7.81118881118881,1,352468.75610952,-15268.7561095201
-121.89,37.68,22,1898,239,734,245,6.2918,334100,0.975510204081633,7.7469387755102,1,274428.278971246,59671.7210287541
-121.89,37.67,19,2034,288,852,295,6.5285,300400,0.976271186440678,6.89491525423729,1,293380.980280615,7019.01971938502
-121.87,37.66,52,775,134,315,123,5.0677,233300,1.08943089430894,6.30081300813008,1,242553.858375685,-9253.85837568477
-121.89,37.66,3,1565,464,769,461,2.1187,231300,1.00650759219089,3.39479392624729,1,202067.867066995,29232.1329330047
-121.85,37.68,4,4719,741,1895,742,6.8132,282500,0.998652291105121,6.35983827493261,1,307972.799003998,-25472.7990039978
-121.86,37.7,13,9621,1344,4389,1391,6.6827,313700,0.966211358734723,6.91660675772825,1,280795.67959912,32904.3204008797
-121.61,37.77,32,404,74,144,58,4.2083,125000,1.27586206896552,6.96551724137931,1,206071.427122072,-81071.4271220715
-121.76,37.69,29,3433,711,1919,709,3.3841,184400,1.00282087447109,4.84203102961918,1,166458.924984527,17941.0750154735
-121.76,37.68,32,1078,207,555,197,3.1856,186900,1.0507614213198,5.47208121827411,1,159774.726768257,27125.2732317432
-121.73,37.68,17,20354,3493,8768,3293,5.4496,238900,1.06073489219557,6.18098997874279,1,271747.622621367,-32847.6226213671
-121.76,37.68,52,2157,418,929,419,3.7301,204400,0.997613365155131,5.14797136038186,1,204429.218671392,-29.2186713923875
-119.93,38.72,15,2061,465,573,196,2.2417,97900,2.37244897959184,10.515306122449,1,115924.723347385,-18024.7233473853
-120,38.52,16,3045,543,202,102,3.15,140600,5.32352941176471,29.8529411764706,1,201064.503067188,-60464.5030671881
-120.59,38.45,13,2944,558,1091,466,3,119000,1.19742489270386,6.3175965665236,1,128859.308479308,-9859.30847930755
-120.55,38.43,18,1564,357,618,277,2.3549,108900,1.28880866425993,5.64620938628159,1,104013.975835413,4886.02416458738
-120.76,38.47,17,1521,309,607,240,3.5,123800,1.2875,6.3375,1,128743.702658531,-4943.70265853085
-120.87,38.37,28,3998,765,1614,698,2.8125,113400,1.09598853868195,5.72779369627507,1,135904.296676239,-22504.2966762393
-121.85,39.77,17,5273,1177,2446,1199,1.9362,89900,0.981651376146789,4.39783152627189,1,93095.5383760672,-3195.53837606718
-121.88,39.74,12,14631,3298,7517,3262,1.6785,153100,1.0110361741263,4.48528510116493,1,115047.958598606,38052.0414013937
-121.85,39.74,39,1139,265,623,264,2.2833,85800,1.00378787878788,4.31439393939394,1,79569.4158914397,6230.58410856032
-121.82,39.75,37,2236,372,974,379,3.2016,97000,0.981530343007916,5.89973614775726,1,94350.0652390712,2649.93476092877
-121.84,39.73,52,677,152,379,154,1.6797,94800,0.987012987012987,4.3961038961039,1,68462.1643590054,26337.8356409946
-121.84,39.73,52,502,100,311,100,1.5481,2e+05,1,5.02,1,72628.9117282823,127371.088271718
-121.85,39.72,18,7272,1559,5022,1524,1.6911,98800,1.02296587926509,4.77165354330709,1,70834.0535005023,27965.9464994977
-121.89,39.71,26,2741,451,1217,437,3.7007,139200,1.03203661327231,6.27231121281465,1,103616.006993383,35583.9930066174
-121.97,39.79,16,1453,299,904,286,3.5735,89600,1.04545454545455,5.08041958041958,1,99183.2410277807,-9583.24102778072
-121.75,39.88,16,2867,559,1203,449,2.7143,95300,1.24498886414254,6.38530066815145,1,88752.4621266708,6547.53787332919
-121.54,40.06,17,858,262,47,27,2.4028,67500,9.7037037037037,31.7777777777778,1,107298.816745918,-39798.8167459182
-121.6,39.79,18,2672,533,1151,532,2.567,102900,1.00187969924812,5.02255639097744,1,112608.631338283,-9708.63133828266
-121.59,39.78,16,2754,570,1063,543,1.4048,86500,1.04972375690608,5.07182320441989,1,88532.9853038986,-2032.98530389862
-121.59,39.78,18,945,205,385,207,2.1838,58000,0.990338164251208,4.56521739130435,1,94665.0233441942,-36665.0233441942
-121.57,39.8,23,790,137,365,152,2.1912,115200,0.901315789473684,5.19736842105263,1,80588.9534874902,34611.0465125098
